date,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
29-Feb-20,1,11,0
1-Mar-20,0,4,0
1-Mar-20,0,22,0
1-Mar-20,2,20,0
1-Mar-20,5,22,0
1-Mar-20,3,20,0
1-Mar-20,8,18,0
1-Mar-20,7,15,0
1-Mar-20,21,18,0
1-Mar-20,58,49,0
1-Mar-20,70,63,0
1-Mar-20,155,90,1
1-Mar-20,357,92,0
1-Mar-20,620,157,0
1-Mar-20,644,159,2
1-Mar-20,1037,189,5
1-Mar-20,2123,316,8
1-Mar-20,2455,359,8
1-Mar-20,2984,472,21
1-Mar-20,3714,559,24
1-Mar-20,4015,665,47
1-Mar-20,2640,700,44
1-Mar-20,2582,725,50
1-Mar-20,3571,1037,82
1-Mar-20,4507,1153,95
1-Mar-20,4865,1303,123
1-Mar-20,5051,1454,190
1-Mar-20,5128,1392,218
1-Mar-20,3477,1364,273
1-Mar-20,3560,1406,292
1-Mar-20,6131,1717,327
1-Mar-20,5473,1695,383
1-Mar-20,5464,1587,447
1-Mar-20,5768,1618,498
1-Mar-20,5676,1601,498
1-Mar-20,3869,1344,510
1-Mar-20,3794,1328,581
1-Mar-20,6378,1724,576
1-Mar-20,6065,1605,597
1-Mar-20,5585,1541,568
1-Mar-20,5074,1429,561
1-Mar-20,4521,1337,539
1-Mar-20,3733,1097,543
1-Mar-20,2889,995,573
1-Mar-20,3311,1214,571
1-Mar-20,4147,1088,512
1-Mar-20,3876,982,454
1-Mar-20,3524,882,413
1-Mar-20,3580,903,384
1-Mar-20,2169,662,391
1-Mar-20,2346,594,399
1-Mar-20,3787,721,364
1-Mar-20,3062,660,323
1-Mar-20,3460,599,312
1-Mar-20,2843,533,332
1-Mar-20,2539,550,316
1-Mar-20,1595,403,265
1-Mar-20,1002,375,247
1-Mar-20,2290,442,271
1-Mar-20,2727,441,228
1-Mar-20,2339,407,240
1-Mar-20,2020,343,222
1-Mar-20,1886,348,209
1-Mar-20,1057,261,192
1-Mar-20,783,255,178
1-Mar-20,1549,309,159
1-Mar-20,1513,283,151
1-Mar-20,1403,257,150
1-Mar-20,1234,252,142
1-Mar-20,1086,253,131
1-Mar-20,658,182,100
1-Mar-20,459,152,102
1-Mar-20,1234,246,103
1-Mar-20,1284,201,91
1-Mar-20,1337,223,83
1-Mar-20,1112,214,70
1-Mar-20,874,228,86
1-Mar-20,488,164,83
1-Mar-20,360,122,77
1-Mar-20,900,175,57
1-Mar-20,1006,201,54
1-Mar-20,1072,164,81
1-Mar-20,1070,172,45
1-Mar-20,1061,193,64
1-Mar-20,464,129,60
1-Mar-20,479,119,49
1-Mar-20,467,139,49
1-Mar-20,1054,149,37
1-Mar-20,753,159,49
1-Mar-20,637,139,38
1-Mar-20,642,158,43
1-Mar-20,349,95,53
1-Mar-20,217,90,39
1-Mar-20,666,124,34
1-Mar-20,574,123,38
1-Mar-20,513,115,42
1-Mar-20,511,89,32
1-Mar-20,409,64,26
1-Mar-20,247,47,35
1-Mar-20,198,45,24
1-Mar-20,444,62,41
1-Mar-20,425,50,33
1-Mar-20,367,45,31
1-Mar-20,357,41,21
1-Mar-20,410,54,23
1-Mar-20,196,29,14
1-Mar-20,185,42,24
1-Mar-20,376,48,20
1-Mar-20,421,48,19
1-Mar-20,350,41,20
1-Mar-20,371,39,17
1-Mar-20,353,40,17
1-Mar-20,204,27,19
1-Mar-20,174,33,28
1-Mar-20,393,40,25
1-Mar-20,376,42,27
1-Mar-20,380,37,25
1-Mar-20,297,37,19
1-Mar-20,312,34,20
1-Mar-20,206,37,21
1-Mar-20,199,32,19
1-Mar-20,439,39,25
1-Mar-20,443,37,24
1-Mar-20,397,30,12
1-Mar-20,415,30,27
1-Mar-20,227,24,23
1-Mar-20,118,22,14
1-Mar-20,151,24,16
1-Mar-20,417,42,19
1-Mar-20,426,41,13
1-Mar-20,429,30,20
1-Mar-20,372,41,10
1-Mar-20,292,36,10
1-Mar-20,222,30,13
1-Mar-20,186,18,11
1-Mar-20,359,45,18
1-Mar-20,269,33,8
1-Mar-20,264,22,13
1-Mar-20,239,30,8
1-Mar-20,268,44,10
1-Mar-20,110,24,10
1-Mar-20,86,25,10
1-Mar-20,185,18,3
1-Mar-20,65,0,4
1-Mar-20,11,0,0
